,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-05-22,244.91,245.1,243.17,244.88,239.629073356,2517874,0.0,1.0
2020-05-26,250.84,252.02,249.88,250.25,244.883925217,4857058,0.0,1.0
2020-05-27,253.73,255.79,250.33,255.77,250.285560651,5230134,0.0,1.0
2020-05-28,257.87,257.94,253.89,254.35,248.896009507,4956183,0.0,1.0
2020-05-29,253.27,255.32,250.68,254.29,248.837296078,5080555,0.0,1.0
2020-06-01,253.78,255.55,252.7,255.27,249.796282079,2054007,0.0,1.0
2020-06-02,256.55,257.92,255.71,257.85,252.32095951,3025790,0.0,1.0
2020-06-03,260.35,264.0,259.66,263.17,257.526883514,5170689,0.0,1.0
2020-06-04,262.37,264.43,261.39,263.33,257.683452657,3912614,0.0,1.0
2020-06-05,270.4,273.95,269.79,271.54,265.717406807,7857174,0.0,1.0
2020-06-08,272.9,276.38,272.9,276.28,270.355767669,4634613,0.0,1.0
2020-06-09,273.24,275.02,272.13,273.38,267.517951952,4619301,0.0,1.0
2020-06-10,273.2,274.18,270.01,270.46,264.660565092,6465045,0.0,1.0
2020-06-11,262.14,263.51,251.38,252.03,246.625756933,14168964,0.0,1.0
2020-06-12,259.0,260.32,251.43,256.74,251.23476108,9810939,0.0,1.0
2020-06-15,250.29,259.6,249.1,258.35,252.810238082,7357182,0.0,1.0
2020-06-16,267.09,267.14,258.69,263.82,258.162945658,9173573,0.0,1.0
2020-06-17,264.61,264.7,261.26,261.82,256.20583137,3620357,0.0,1.0
2020-06-18,260.04,262.26,259.11,261.45,255.843765227,3236692,0.0,1.0
2020-06-19,264.21,264.46,257.61,258.8,253.987109616,5842397,0.7527,1.0
2020-06-22,257.88,260.58,256.68,260.32,255.478842254,2776212,0.0,1.0
2020-06-23,262.83,263.15,261.02,261.5,256.636897854,2921108,0.0,1.0
2020-06-24,259.22,259.52,252.94,254.63,249.894658893,5866506,0.0,1.0
2020-06-25,253.34,257.71,252.06,257.44,252.652401467,4274984,0.0,1.0
2020-06-26,255.65,256.05,249.7,250.38,245.723695926,5314999,0.0,1.0
2020-06-29,252.18,256.12,250.95,255.91,251.150854798,3759039,0.0,1.0
2020-06-30,255.07,259.05,254.72,257.87,253.074404779,3638045,0.0,1.0
2020-07-01,258.87,260.26,257.14,257.31,252.52481907,3556923,0.0,1.0
2020-07-02,261.15,262.17,257.88,258.42,253.614176457,3799715,0.0,1.0
2020-07-06,262.16,263.05,260.87,263.0,258.109002431,2957548,0.0,1.0
2020-07-07,261.1,261.85,258.78,259.04,254.222646348,2810097,0.0,1.0
2020-07-08,259.64,261.19,258.25,260.72,255.871403474,2815565,0.0,1.0
2020-07-09,260.87,261.19,255.35,257.24,252.456120856,3970210,0.0,1.0
2020-07-10,257.2,261.16,256.46,260.82,255.969543779,3099690,0.0,1.0
2020-07-13,263.06,266.52,260.58,261.04,256.18545245,4825392,0.0,1.0
