,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-04-20,213.36,215.88,212.57,212.74,210.93843789,38249128,0.0,1.0
2020-04-21,210.6,211.16,203.63,204.89,203.154914634,72932771,0.0,1.0
2020-04-22,209.1,212.35,208.33,210.97,209.183426914,40188772,0.0,1.0
2020-04-23,211.79,214.44,210.1,210.52,208.737237682,43278542,0.0,1.0
2020-04-24,210.97,214.3,209.5,213.84,212.029122677,34303365,0.0,1.0
2020-04-27,216.19,216.63,214.5,215.56,213.734557072,36451698,0.0,1.0
2020-04-28,217.32,217.32,211.21,211.5,209.708938675,46862816,0.0,1.0
2020-04-29,216.19,219.97,215.14,219.0,217.145425862,48716406,0.0,1.0
2020-04-30,219.95,220.04,217.35,218.91,217.056188016,43359476,0.0,1.0
2020-05-01,214.5,216.67,211.68,212.74,210.93843789,48794968,0.0,1.0
2020-05-04,211.46,215.45,211.12,215.22,213.39743632,32841020,0.0,1.0
2020-05-05,217.44,220.14,216.85,217.66,215.816773484,37783075,0.0,1.0
2020-05-06,219.4,221.04,218.11,219.0,217.145425862,36455218,0.0,1.0
2020-05-07,221.82,222.73,220.42,221.82,219.941545044,38624836,0.0,1.0
2020-05-08,223.62,225.0,222.48,224.86,222.955801184,31964416,0.0,1.0
2020-05-11,223.49,227.93,223.25,226.87,224.94877975,35714128,0.0,1.0
2020-05-12,227.49,228.1,222.09,222.12,220.239004532,41054123,0.0,1.0
2020-05-13,222.66,224.61,216.71,219.34,217.482546614,65521208,0.0,1.0
2020-05-14,217.97,221.87,215.99,221.83,219.95146036,51549345,0.0,1.0
2020-05-15,218.78,223.33,218.33,223.27,221.3792659,55747208,0.0,1.0
2020-05-18,226.33,228.68,225.47,227.43,225.50403746,42597551,0.0,1.0
2020-05-19,227.7,229.85,226.71,226.86,224.938864434,36237303,0.0,1.0
2020-05-20,229.5,231.76,229.48,231.39,229.430502695,37417000,0.0,1.0
2020-05-21,231.44,232.14,228.34,228.87,226.931843,42240976,0.0,1.0
2020-05-22,228.45,229.87,227.5,229.66,227.715152984,28762389,0.0,1.0
2020-05-26,233.36,233.57,228.79,229.04,227.100403376,33055346,0.0,1.0
2020-05-27,228.69,230.41,223.94,230.29,228.339817907,55665565,0.0,1.0
2020-05-28,229.11,233.47,229.05,229.99,228.04235842,43008478,0.0,1.0
2020-05-29,230.38,233.6,228.76,233.36,231.383819996,50878596,0.0,1.0
2020-06-01,232.46,234.45,232.0,234.06,232.077892133,26140125,0.0,1.0
2020-06-02,234.5,235.69,232.01,235.63,233.634596785,33383415,0.0,1.0
2020-06-03,236.26,237.47,235.35,236.69,234.685620307,37228701,0.0,1.0
2020-06-04,236.33,237.79,233.68,235.03,233.03967781,38716097,0.0,1.0
2020-06-05,236.22,240.3,235.63,239.69,237.660215182,47365569,0.0,1.0
2020-06-08,239.54,241.68,237.91,241.55,239.504464004,32937305,0.0,1.0
2020-06-09,240.66,244.18,240.47,243.3,241.239644348,35046254,0.0,1.0
